date,salesTotal,CustNum,kankou,tabelog,day1_sales,day1_kankou,day1_tabelog,event_impact
2017-11-20,578070.0,258.0,3539.0,706.0,1115824.0,2744.0,940.0,0.0
2017-11-21,606696.0,247.0,2744.0,738.0,578070.0,3499.0,706.0,0.0
2017-11-22,547218.0,241.0,3499.0,608.0,606696.0,2734.0,738.0,0.0
2017-11-23,899567.0,383.0,2734.0,930.0,547218.0,3680.0,608.0,-3.59
2017-11-24,884798.0,392.0,3680.0,823.0,899567.0,7628.0,930.0,0.0
2017-11-25,1281194.0,519.0,7628.0,1002.0,884798.0,5210.0,823.0,0.0
2017-11-26,1125678.0,468.0,5210.0,870.0,1281194.0,4137.0,1002.0,0.0
2017-11-27,628516.0,274.0,4137.0,758.0,1125678.0,3973.0,870.0,0.0
2017-11-28,522946.0,214.0,3973.0,528.0,628516.0,2735.0,758.0,0.0
2017-11-29,469142.0,197.0,2735.0,537.0,522946.0,1781.0,528.0,0.0
2017-11-30,264976.0,113.0,1781.0,738.0,469142.0,2703.0,537.0,0.0
2017-12-01,342357.0,157.0,2703.0,680.0,264976.0,4365.0,738.0,0.0
2017-12-02,713744.0,314.0,4365.0,729.0,342357.0,3386.0,680.0,0.0
2017-12-03,1053184.0,457.0,3386.0,667.0,713744.0,1783.0,729.0,0.0
2017-12-04,467272.0,176.0,1783.0,624.0,1053184.0,832.0,667.0,0.0
2017-12-05,383030.0,178.0,832.0,435.0,467272.0,696.0,624.0,0.0
2017-12-06,395985.0,152.0,696.0,433.0,383030.0,1176.0,435.0,0.0
2017-12-07,381182.0,171.0,1176.0,501.0,395985.0,978.0,433.0,0.0
2017-12-08,358680.0,151.0,978.0,793.0,381182.0,4881.0,501.0,0.0
2017-12-09,922986.0,413.0,4881.0,790.0,358680.0,2506.0,793.0,0.0
2017-12-10,974044.0,437.0,2506.0,652.0,922986.0,1218.0,790.0,0.0
2017-12-11,467272.0,176.0,1218.0,729.0,974044.0,1553.0,652.0,0.0
2017-12-12,383030.0,152.0,1553.0,524.0,467272.0,2141.0,729.0,0.0
2017-12-13,488592.0,184.0,2141.0,706.0,383030.0,956.0,524.0,0.0
2017-12-14,401176.0,184.0,956.0,533.0,488592.0,942.0,706.0,0.0
2017-12-15,365617.0,153.0,942.0,822.0,401176.0,3907.0,533.0,0.0
2017-12-16,856844.0,327.0,3907.0,783.0,365617.0,1645.0,822.0,0.0
2017-12-17,996294.0,437.0,1645.0,679.0,856844.0,837.0,783.0,0.0
2017-12-18,537114.0,230.0,837.0,726.0,996294.0,739.0,679.0,0.0
2017-12-19,391560.0,172.0,739.0,598.0,537114.0,592.0,726.0,0.0
2017-12-20,352052.0,135.0,592.0,746.0,391560.0,1138.0,598.0,0.0
2017-12-21,300760.0,144.0,1138.0,507.0,352052.0,4070.0,746.0,0.0
2017-12-22,248542.0,97.0,4070.0,460.0,300760.0,8069.0,507.0,0.0
2017-12-23,918998.0,413.0,8069.0,822.0,248542.0,2980.0,460.0,0.0
2017-12-24,956014.0,388.0,2980.0,841.0,918998.0,2222.0,822.0,-3.59
2017-12-25,477782.0,230.0,2222.0,543.0,956014.0,2566.0,841.0,2.1600000000000006
2017-12-26,541756.0,257.0,2566.0,749.0,477782.0,5280.0,543.0,0.0
2017-12-27,646522.0,281.0,5280.0,605.0,541756.0,8254.0,749.0,0.0
2017-12-28,747202.0,340.0,8254.0,797.0,646522.0,13415.0,605.0,0.0
2017-12-29,1125318.0,443.0,13415.0,627.0,747202.0,13282.0,797.0,0.0
2017-12-30,1429349.0,575.0,13282.0,867.0,1125318.0,9004.0,627.0,0.0
2017-12-31,1226692.0,487.0,9004.0,619.0,1429349.0,7183.0,867.0,0.0
2018-01-01,2864260.0,1025.0,7183.0,646.0,1226692.0,6853.0,619.0,0.0
2018-01-02,2749210.0,1002.0,6853.0,981.0,2864260.0,6439.0,646.0,0.0
2018-01-03,2227218.0,853.0,6439.0,875.0,2749210.0,4789.0,981.0,0.0
2018-01-04,1978910.0,765.0,4789.0,1555.0,2227218.0,3326.0,875.0,0.0
2018-01-05,1385594.0,531.0,3326.0,1107.0,1978910.0,3326.0,1555.0,0.0
2018-01-06,1556690.0,632.0,3326.0,2267.0,1385594.0,4208.0,1107.0,0.0
2018-01-07,2250501.0,883.0,4208.0,1442.0,1556690.0,981.0,2267.0,0.0
2018-01-08,961136.0,366.0,981.0,984.0,2250501.0,616.0,1442.0,-3.59
2018-01-09,773959.0,305.0,616.0,881.0,961136.0,790.0,984.0,0.0
2018-01-10,777736.0,340.0,790.0,940.0,773959.0,904.0,881.0,0.0
2018-01-11,946562.0,369.0,904.0,1035.0,777736.0,1128.0,940.0,0.0
2018-01-12,693910.0,283.0,1128.0,700.0,946562.0,2663.0,1035.0,0.0
2018-01-13,1104710.0,477.0,2663.0,975.0,693910.0,1965.0,700.0,0.0
2018-01-14,1248466.0,525.0,1965.0,930.0,1104710.0,1368.0,975.0,0.0
2018-01-15,789898.0,373.0,1368.0,821.0,1248466.0,1234.0,930.0,0.0
2018-01-16,767706.0,340.0,1234.0,822.0,789898.0,1274.0,821.0,0.0
2018-01-17,672770.0,306.0,1274.0,726.0,767706.0,1033.0,822.0,-3.59
2018-01-18,888823.0,403.0,1033.0,789.0,672770.0,829.0,726.0,0.0
2018-01-19,672204.0,308.0,829.0,777.0,888823.0,1912.0,789.0,0.0
2018-01-20,1110287.0,436.0,1912.0,1009.0,672204.0,1694.0,777.0,0.0
2018-01-21,1285310.0,512.0,1694.0,1190.0,1110287.0,1220.0,1009.0,0.0
2018-01-22,682992.0,282.0,1220.0,831.0,1285310.0,874.0,1190.0,-3.59
2018-01-23,867302.0,344.0,874.0,936.0,682992.0,991.0,831.0,0.0
2018-01-24,534940.0,245.0,991.0,912.0,867302.0,795.0,936.0,0.0
2018-01-25,442790.0,217.0,795.0,642.0,534940.0,1408.0,912.0,0.0
2018-01-26,606668.0,251.0,1408.0,856.0,442790.0,3453.0,642.0,0.0
2018-01-27,1071260.0,492.0,3453.0,1002.0,606668.0,2632.0,856.0,0.0
2018-01-28,1267450.0,489.0,2632.0,1392.0,1071260.0,1577.0,1002.0,0.0
2018-01-29,818832.0,354.0,1577.0,772.0,1267450.0,1021.0,1392.0,0.0
2018-01-30,683000.0,313.0,1021.0,762.0,818832.0,1392.0,772.0,0.0
2018-01-31,699342.0,276.0,1392.0,855.0,683000.0,1374.0,762.0,0.0
2018-02-01,536570.0,234.0,1374.0,534.0,699342.0,1045.0,855.0,0.0
2018-02-02,485010.0,233.0,1045.0,835.0,536570.0,4869.0,534.0,0.0
2018-02-03,1163802.0,434.0,4869.0,1187.0,485010.0,2616.0,835.0,0.0
2018-02-04,1096200.0,430.0,2616.0,1131.0,1163802.0,1643.0,1187.0,0.0
2018-02-05,646822.0,280.0,1643.0,640.0,1096200.0,837.0,1131.0,0.0
2018-02-06,548412.0,255.0,837.0,954.0,646822.0,1219.0,640.0,0.0
2018-02-07,492354.0,217.0,1219.0,791.0,548412.0,1110.0,954.0,0.0
2018-02-08,569360.0,243.0,1110.0,1163.0,492354.0,2175.0,791.0,0.0
2018-02-09,595432.0,253.0,2175.0,903.0,569360.0,7359.0,1163.0,0.0
2018-02-10,1083834.0,408.0,7359.0,1375.0,595432.0,4437.0,903.0,0.0
2018-02-11,1724827.0,704.0,4437.0,1559.0,1083834.0,2435.0,1375.0,0.0
2018-02-12,1204812.0,469.0,2435.0,1191.0,1724827.0,1892.0,1559.0,0.0
2018-02-13,723810.0,310.0,1892.0,1363.0,1204812.0,1787.0,1191.0,0.0
2018-02-14,671484.0,278.0,1787.0,683.0,723810.0,2056.0,1363.0,0.0
2018-02-15,635364.0,250.0,2056.0,906.0,671484.0,2703.0,683.0,0.0
2018-02-16,777740.0,322.0,2703.0,786.0,635364.0,7905.0,906.0,0.0
2018-02-17,1159461.0,500.0,7905.0,1134.0,777740.0,6103.0,786.0,0.0
2018-02-18,1178438.0,532.0,6103.0,1296.0,1159461.0,3534.0,1134.0,0.0
2018-02-19,776768.0,353.0,3534.0,1034.0,1178438.0,2847.0,1296.0,0.0
2018-02-20,685354.0,277.0,2847.0,755.0,776768.0,2554.0,1034.0,0.0
2018-02-21,705712.0,322.0,2554.0,1114.0,685354.0,2146.0,755.0,0.0
2018-02-22,462372.0,220.0,2146.0,814.0,705712.0,3584.0,1114.0,0.0
2018-02-23,678588.0,292.0,3584.0,700.0,462372.0,6264.0,814.0,0.0
2018-02-24,1132556.0,478.0,6264.0,1142.0,678588.0,4291.0,700.0,0.0
2018-02-25,1095512.0,450.0,4291.0,993.0,1132556.0,1613.0,1142.0,0.0
2018-02-26,704908.0,277.0,1613.0,843.0,1095512.0,1155.0,993.0,0.0
2018-02-27,582609.0,274.0,1155.0,666.0,704908.0,1187.0,843.0,0.0
2018-02-28,338580.0,156.0,1187.0,794.0,582609.0,2330.0,666.0,-3.59
2018-03-01,383030.0,172.0,2330.0,632.0,338580.0,5718.0,794.0,-3.59
2018-03-02,456218.0,204.0,5718.0,717.0,383030.0,3350.0,632.0,0.0
2018-03-03,1117905.0,453.0,3350.0,1084.0,456218.0,3350.0,717.0,0.0
2018-03-04,1132461.0,474.0,3350.0,1001.0,1117905.0,3350.0,1084.0,0.0
2018-03-05,545497.0,245.0,3350.0,923.0,1132461.0,2148.0,1001.0,-3.59
2018-03-06,470670.0,216.0,2148.0,813.0,545497.0,1747.0,923.0,0.0
2018-03-07,728072.0,304.0,1747.0,795.0,470670.0,1581.0,813.0,0.0
2018-03-08,534294.0,206.0,1581.0,920.0,728072.0,2970.0,795.0,-3.59
2018-03-09,418619.0,182.0,2970.0,976.0,534294.0,7004.0,920.0,-3.59
2018-03-10,1175920.0,498.0,7004.0,1012.0,418619.0,3689.0,976.0,0.0
2018-03-11,1191010.0,497.0,3689.0,980.0,1175920.0,2083.0,1012.0,0.0
2018-03-12,757705.0,331.0,2083.0,875.0,1191010.0,1976.0,980.0,0.0
2018-03-13,633906.0,287.0,1976.0,576.0,757705.0,2779.0,875.0,0.0
2018-03-14,720762.0,306.0,2779.0,812.0,633906.0,2702.0,576.0,0.0
2018-03-15,613300.0,272.0,2702.0,812.0,720762.0,3960.0,812.0,0.0
2018-03-16,617900.0,289.0,3960.0,768.0,613300.0,6389.0,812.0,0.0
2018-03-17,1145700.0,496.0,6389.0,793.0,617900.0,6762.0,768.0,0.0
2018-03-18,1203930.0,505.0,6762.0,931.0,1145700.0,4077.0,793.0,0.0
2018-03-19,736870.0,332.0,4077.0,1106.0,1203930.0,2531.0,931.0,0.0
2018-03-20,777210.0,319.0,2531.0,849.0,736870.0,2493.0,1106.0,-3.59
2018-03-21,800230.0,317.0,2493.0,860.0,777210.0,2658.0,849.0,-3.59
2018-03-22,804760.0,343.0,2658.0,994.0,800230.0,4823.0,860.0,-3.59
2018-03-23,695130.0,300.0,4823.0,760.0,804760.0,10615.0,994.0,0.0
2018-03-24,1129960.0,428.0,10615.0,842.0,695130.0,9694.0,760.0,0.0
2018-03-25,1274550.0,530.0,9694.0,907.0,1129960.0,5455.0,842.0,0.0
2018-03-26,889090.0,412.0,5455.0,753.0,1274550.0,5878.0,907.0,0.0
2018-03-27,744990.0,332.0,5878.0,766.0,889090.0,3179.0,753.0,0.0
2018-03-28,853101.0,577.0,3179.0,666.0,744990.0,6074.0,766.0,0.0
2018-03-29,870690.0,375.0,6074.0,512.0,853101.0,6261.0,666.0,0.0
2018-03-30,895140.0,384.0,6261.0,637.0,870690.0,11303.0,512.0,0.0
2018-03-31,1264250.0,546.0,11303.0,549.0,895140.0,9953.0,637.0,0.0
2018-04-01,1352990.0,586.0,9953.0,847.0,1264250.0,5153.0,549.0,0.0
2018-04-02,840620.0,363.0,5153.0,754.0,1352990.0,4396.0,847.0,0.0
2018-04-03,858750.0,355.0,4396.0,580.0,840620.0,3130.0,754.0,0.0
2018-04-04,835690.0,366.0,3130.0,754.0,858750.0,1680.0,580.0,0.0
2018-04-05,653480.0,261.0,1680.0,501.0,835690.0,2568.0,754.0,0.0
2018-04-06,469874.0,199.0,2568.0,472.0,653480.0,3339.0,501.0,0.0
2018-04-07,971780.0,385.0,3339.0,510.0,469874.0,2003.0,472.0,0.0
2018-04-08,985130.0,404.0,2003.0,894.0,971780.0,1286.0,510.0,0.0
2018-04-09,522530.0,227.0,1286.0,640.0,985130.0,2094.0,894.0,0.0
2018-04-10,534980.0,215.0,2094.0,636.0,522530.0,2011.0,640.0,0.0
2018-04-11,388850.0,147.0,2011.0,612.0,534980.0,1553.0,636.0,0.0
2018-04-12,614810.0,214.0,1553.0,493.0,388850.0,1592.0,612.0,0.0
2018-04-13,483260.0,214.0,1592.0,629.0,614810.0,5734.0,493.0,0.0
2018-04-14,904570.0,391.0,5734.0,722.0,483260.0,2976.0,629.0,0.0
2018-04-15,931900.0,390.0,2976.0,870.0,904570.0,1975.0,722.0,-3.59
2018-04-16,526050.0,225.0,1975.0,1096.0,931900.0,1595.0,870.0,0.0
2018-04-17,572910.0,213.0,1595.0,630.0,526050.0,1394.0,1096.0,-3.59
2018-04-18,364240.0,162.0,1394.0,538.0,572910.0,1051.0,630.0,-3.59
2018-04-19,449780.0,194.0,1051.0,494.0,364240.0,1770.0,538.0,0.0
2018-04-20,546290.0,219.0,1770.0,584.0,449780.0,6534.0,494.0,0.0
2018-04-21,973380.0,407.0,6534.0,806.0,546290.0,3229.0,584.0,0.0
2018-04-22,865980.0,372.0,3229.0,824.0,973380.0,1538.0,806.0,0.0
2018-04-23,473550.0,205.0,1538.0,1104.0,865980.0,1531.0,824.0,0.0
2018-04-24,283880.0,123.0,1531.0,719.0,473550.0,1210.0,1104.0,0.0
2018-04-25,345520.0,151.0,1210.0,665.0,283880.0,1653.0,719.0,-3.59
2018-04-26,381790.0,170.0,1653.0,823.0,345520.0,2053.0,665.0,0.0
2018-04-27,363260.0,159.0,2053.0,670.0,381790.0,9612.0,823.0,0.0
2018-04-28,974210.0,421.0,9612.0,825.0,363260.0,8350.0,670.0,0.0
2018-04-29,1637550.0,707.0,8350.0,1156.0,974210.0,6748.0,825.0,0.0
2018-04-30,1207670.0,528.0,6748.0,1030.0,1637550.0,6700.0,1156.0,0.0
2018-05-01,1017790.0,473.0,6700.0,1093.0,1207670.0,11552.0,1030.0,0.0
2018-05-02,904410.0,333.0,11552.0,1027.0,1017790.0,11954.0,1093.0,-3.59
2018-05-03,1430600.0,554.0,11954.0,1090.0,904410.0,13461.0,1027.0,-3.59
2018-05-04,2136810.0,816.0,13461.0,1314.0,1430600.0,9511.0,1090.0,0.0
2018-05-05,1611380.0,639.0,9511.0,1446.0,2136810.0,2431.0,1314.0,0.0
2018-05-06,935280.0,405.0,2431.0,1138.0,1611380.0,1606.0,1446.0,0.0
2018-05-07,138060.0,55.0,1606.0,822.0,935280.0,1227.0,1138.0,-3.59
2018-05-08,277230.0,124.0,1227.0,658.0,138060.0,1601.0,822.0,-3.59
2018-05-09,356150.0,148.0,1601.0,812.0,277230.0,2303.0,658.0,-3.59
2018-05-10,472810.0,196.0,2303.0,608.0,356150.0,2506.0,812.0,0.0
