date,salesTotal,CustNum,kankou,tabelog,day1_sales,day1_kankou,day1_tabelog,event_impact
2017-11-05,808730.0,331.0,3886.0,866.0,1582486.0,1639.0,1281.0,0.0
2017-11-06,778394.0,339.0,1639.0,597.0,808730.0,1692.0,866.0,0.0
2017-11-07,407552.0,180.0,1692.0,660.0,778394.0,1453.0,597.0,0.0
2017-11-08,555504.0,247.0,1453.0,799.0,407552.0,1540.0,660.0,-3.59
2017-11-09,417172.0,182.0,1540.0,989.0,555504.0,2976.0,799.0,0.0
2017-11-10,623136.0,263.0,2976.0,719.0,417172.0,6708.0,989.0,0.0
2017-11-11,927000.0,393.0,6708.0,650.0,623136.0,4330.0,719.0,0.0
2017-11-12,1178375.0,497.0,4330.0,820.0,927000.0,2358.0,650.0,0.0
2017-11-13,723142.0,346.0,2358.0,650.0,1178375.0,2503.0,820.0,0.0
2017-11-14,231274.0,112.0,2503.0,710.0,723142.0,1990.0,650.0,-3.59
2017-11-15,454442.0,213.0,1990.0,590.0,231274.0,2450.0,710.0,0.0
2017-11-16,528467.0,228.0,2450.0,637.0,454442.0,3741.0,590.0,0.0
2017-11-17,525854.0,249.0,3741.0,590.0,528467.0,7560.0,637.0,0.0
2017-11-18,902755.0,361.0,7560.0,881.0,525854.0,5772.0,590.0,-3.59
2017-11-19,1115824.0,475.0,5772.0,940.0,902755.0,3539.0,881.0,0.0
2017-11-20,578070.0,258.0,3539.0,706.0,1115824.0,2744.0,940.0,0.0
2017-11-21,606696.0,247.0,2744.0,738.0,578070.0,3499.0,706.0,0.0
2017-11-22,547218.0,241.0,3499.0,608.0,606696.0,2734.0,738.0,0.0
2017-11-23,899567.0,383.0,2734.0,930.0,547218.0,3680.0,608.0,-3.59
2017-11-24,884798.0,392.0,3680.0,823.0,899567.0,7628.0,930.0,0.0
2017-11-25,1281194.0,519.0,7628.0,1002.0,884798.0,5210.0,823.0,0.0
2017-11-26,1125678.0,468.0,5210.0,870.0,1281194.0,4137.0,1002.0,0.0
2017-11-27,628516.0,274.0,4137.0,758.0,1125678.0,3973.0,870.0,0.0
2017-11-28,522946.0,214.0,3973.0,528.0,628516.0,2735.0,758.0,0.0
2017-11-29,469142.0,197.0,2735.0,537.0,522946.0,1781.0,528.0,0.0
2017-11-30,264976.0,113.0,1781.0,738.0,469142.0,2703.0,537.0,0.0
2017-12-01,342357.0,157.0,2703.0,680.0,264976.0,4365.0,738.0,0.0
2017-12-02,713744.0,314.0,4365.0,729.0,342357.0,3386.0,680.0,0.0
2017-12-03,1053184.0,457.0,3386.0,667.0,713744.0,1783.0,729.0,0.0
