"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2.5%",183.918620801875,-10.5596562749029,-110.664654244487,-97.6707103860188,-197.105796168725,-174.51752159173,-29.6484052700731,-42.5000577528318,-242.386823038962,-309.3994020524,-297.874738308807,-344.455126927165,-376.275082622446,-246.14914865213,-293.422076787149,-416.813861817529,-482.382749578119,-488.887667272145,-548.562267361515,-549.517895645709,-388.739061463804,-450.33883448935,-616.936734122677,-726.656382851247,-721.413514129954,-753.670495732135,-773.088099204141,-639.397523876056,-659.193718114244,-820.57244389565
"97.5%",582.605416794602,440.237639776644,450.085935401382,495.237869272639,486.81467371808,545.163808152018,788.114158486691,847.805164799767,688.621990239804,644.051603266448,654.829000905328,719.014787048549,760.543451246875,918.173859783822,937.7174716262,831.461580872872,839.165159283446,866.860578006839,867.50813155543,865.69978131517,1178.91515093539,1125.78706708646,1007.65554289195,1045.31858476198,1003.32427686512,1010.46081837138,1027.60040634088,1225.36925192042,1276.64504131192,1131.42050915466
