"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2.5%",192.053019453422,-57.2923550207167,-130.76826362129,-124.718213061553,-217.178269587581,-234.770759052093,-86.4030951754877,-89.0371955341787,-352.896892821933,-430.001997939192,-464.941312293206,-546.075060893839,-512.718536997009,-390.135766399229,-419.114437180438,-576.433332265424,-649.974183441238,-648.756227901541,-735.890688708905,-762.294256336436,-539.574019227602,-622.110482751736,-822.487953716597,-886.502098225737,-924.107474064364,-932.401661937277,-964.607174884577,-847.882841227461,-925.071797038917,-1066.29973935175
"97.5%",577.665329232707,521.342485500614,531.940416558684,630.962714724851,590.494036909845,725.368081965517,923.619918638361,981.118448987389,818.219946932155,807.342895891059,856.822950743522,858.766869755493,934.131426276266,1137.30367889456,1133.97510128111,1019.58041590104,986.55933327187,1026.93193391077,1027.5111211599,1102.96243542305,1353.07975951387,1258.787095206,1160.57955258454,1129.33234451274,1161.08958572599,1203.228100894,1254.85615188194,1427.59738235948,1499.7819014943,1378.40102307815
