date,salesTotal,CustNum,kankou,event_impact
2018-06-08,461090.0,205.0,1841.0,0.0
2018-06-09,821600.0,370.0,4440.0,-3.59
2018-06-10,727640.0,317.0,2952.0,0.0
2018-06-11,332040.0,167.0,2154.0,0.0
2018-06-12,376180.0,150.0,1571.0,0.0
2018-06-13,468040.0,196.0,1419.0,0.0
2018-06-14,526820.0,200.0,1260.0,-3.59
2018-06-15,8420.0,4.0,2663.0,0.0
2018-06-16,976050.0,422.0,6606.0,0.0
2018-06-17,1147390.0,456.0,3740.0,-3.59
2018-06-18,280910.0,134.0,1591.0,0.0
2018-06-19,297120.0,118.0,757.0,-3.59
2018-06-20,210310.0,80.0,1214.0,0.0
2018-06-21,300350.0,130.0,1418.0,0.0
2018-06-22,469490.0,194.0,1951.0,-3.59
2018-06-23,900800.0,362.0,5406.0,0.0
2018-06-24,1041530.0,471.0,2858.0,0.0
2018-06-25,367680.0,165.0,1957.0,0.0
2018-06-26,292520.0,155.0,1630.0,0.0
2018-06-27,349690.0,172.0,1784.0,0.0
2018-06-28,512430.0,201.0,1303.0,0.0
2018-06-29,360620.0,143.0,1915.0,0.0
2018-06-30,859970.0,391.0,4300.0,0.0
2018-07-01,996740.0,455.0,1643.0,0.0
2018-07-02,448610.0,196.0,965.0,0.0
2018-07-03,323390.0,127.0,1028.0,-3.59
2018-07-04,315140.0,123.0,902.0,0.0
2018-07-05,387220.0,161.0,987.0,-3.59
2018-07-06,280320.0,126.0,1768.0,-3.59
2018-07-07,561100.0,243.0,5178.0,0.0
2018-07-08,808320.0,350.0,2687.0,0.0
2018-07-09,501090.0,228.0,1667.0,0.0
2018-07-10,418680.0,191.0,1648.0,0.0
2018-07-11,473730.0,177.0,1610.0,0.0
2018-07-12,469380.0,209.0,1787.0,0.0
2018-07-13,513980.0,222.0,3193.0,41.73000000000001
2018-07-14,1086700.0,450.0,11629.0,53.95000000000001
2018-07-15,1487410.0,652.0,11986.0,12.22
2018-07-16,1173880.0,505.0,4329.0,12.22
2018-07-17,368430.0,163.0,2192.0,0.0
2018-07-18,325470.0,153.0,1109.0,0.0
2018-07-19,384480.0,162.0,1556.0,0.0
2018-07-20,397930.0,159.0,3737.0,0.0
2018-07-21,698970.0,314.0,7396.0,0.0
2018-07-22,819010.0,375.0,6165.0,0.0
2018-07-23,514370.0,217.0,5604.0,0.0
2018-07-24,384010.0,174.0,4656.0,0.0
2018-07-25,431350.0,217.0,4326.0,0.0
2018-07-26,387040.0,186.0,5795.0,0.0
2018-07-27,653200.0,304.0,7644.0,-3.59
2018-07-28,532440.0,246.0,9679.0,-3.59
2018-07-29,681620.0,318.0,6985.0,0.0
2018-07-30,570550.0,260.0,5603.0,0.0
2018-07-31,316310.0,147.0,4342.0,0.0
2018-08-01,566980.0,289.0,4770.0,0.0
2018-08-02,547280.0,246.0,6259.0,0.0
2018-08-03,665290.0,305.0,6749.0,0.0
2018-08-04,860890.0,393.0,7727.0,0.0
2018-08-05,969020.0,452.0,7210.0,0.0
2018-08-06,665270.0,284.0,6890.0,-3.59
2018-08-07,561530.0,238.0,7634.0,0.0
2018-08-08,795010.0,1137.0,7919.0,0.0
2018-08-09,624250.0,314.0,9906.0,0.0
2018-08-10,766360.0,378.0,9631.0,0.0
2018-08-11,1153980.0,445.0,12501.0,0.0
2018-08-12,1487680.0,575.0,11722.0,7.77
2018-08-13,1593490.0,625.0,11831.0,7.77
2018-08-14,1498350.0,558.0,10251.0,4.180000000000001
2018-08-15,1265310.0,550.0,8342.0,0.0
2018-08-16,1097260.0,518.0,9952.0,0.0
2018-08-17,1089100.0,534.0,10140.0,0.0
2018-08-18,965830.0,449.0,7045.0,0.0
2018-08-19,1004790.0,442.0,7872.0,0.0
2018-08-20,964350.0,442.0,7135.0,-3.59
2018-08-21,809490.0,368.0,7499.0,0.0
2018-08-22,861730.0,380.0,6964.0,-3.59
2018-08-23,637800.0,253.0,5440.0,-3.59
2018-08-24,563370.0,263.0,5506.0,0.0
2018-08-25,881000.0,426.0,7444.0,0.0
2018-08-26,1005000.0,463.0,6906.0,0.0
2018-08-27,643240.0,317.0,7083.0,-3.59
2018-08-28,626170.0,298.0,5186.0,0.0
2018-08-29,592490.0,308.0,3310.0,0.0
2018-08-30,683030.0,317.0,4576.0,0.0
2018-08-31,543170.0,266.0,4848.0,-3.59
2018-09-01,878860.0,385.0,3296.0,0.0
2018-09-02,876500.0,398.0,1266.0,-3.59
2018-09-03,600750.0,258.0,1060.0,-3.59
2018-09-04,633990.0,258.0,1108.0,0.0
2018-09-05,416230.0,187.0,2417.0,0.0
2018-09-06,420780.0,185.0,2731.0,0.0
2018-09-07,496230.0,240.0,2725.0,0.0
2018-09-08,791090.0,349.0,4772.0,0.0
2018-09-09,977120.0,430.0,3438.0,-3.59
2018-09-10,496520.0,202.0,3111.0,0.0
2018-09-11,639950.0,262.0,1614.0,0.0
2018-09-12,584140.0,256.0,1534.0,0.0
2018-09-13,609160.0,264.0,957.0,0.0
2018-09-14,545580.0,233.0,1255.0,12.22
2018-09-15,1113980.0,490.0,3895.0,12.22
2018-09-16,1433090.0,609.0,2623.0,12.22
2018-09-17,1167600.0,495.0,1299.0,0.0
2018-09-18,643450.0,292.0,662.0,0.0
2018-09-19,548380.0,234.0,707.0,-3.59
2018-09-20,531070.0,211.0,1558.0,-3.59
2018-09-21,446140.0,173.0,1481.0,12.22
2018-09-22,1029840.0,449.0,4521.0,12.22
2018-09-23,1602070.0,707.0,4009.0,12.22
2018-09-24,1041870.0,438.0,1071.0,0.0
2018-09-25,558740.0,230.0,2230.0,0.0
2018-09-26,632550.0,245.0,2772.0,0.0
2018-09-27,361800.0,172.0,2994.0,0.0
2018-09-28,489270.0,209.0,2789.0,0.0
2018-09-29,601220.0,252.0,4871.0,-22.25
2018-09-30,113190.0,54.0,3968.0,0.0
2018-10-01,195090.0,79.0,1881.0,0.0
2018-10-02,318710.0,123.0,1772.0,0.0
2018-10-03,560590.0,262.0,2119.0,0.0
2018-10-04,414630.0,151.0,1853.0,0.0
2018-10-05,501140.0,189.0,2393.0,12.22
2018-10-06,921920.0,403.0,8672.0,12.22
2018-10-07,1425820.0,630.0,8715.0,12.22
2018-10-08,1162070.0,445.0,4054.0,0.0
2018-10-09,589180.0,258.0,2571.0,0.0
2018-10-10,601710.0,252.0,2666.0,-3.59
2018-10-11,302470.0,124.0,1889.0,0.0
2018-10-12,499730.0,214.0,1546.0,0.0
2018-10-13,1069180.0,409.0,3139.0,0.0
2018-10-14,1075300.0,454.0,2658.0,0.0
2018-10-15,750500.0,305.0,1869.0,0.0
2018-10-16,492560.0,222.0,2210.0,0.0
2018-10-17,552400.0,222.0,2093.0,0.0
2018-10-18,630820.0,262.0,2072.0,0.0
2018-10-19,443940.0,197.0,3239.0,0.0
2018-10-20,1021970.0,430.0,5573.0,0.0
2018-10-21,1080210.0,466.0,2824.0,0.0
2018-10-22,706740.0,305.0,1657.0,0.0
2018-10-23,689210.0,241.0,2141.0,0.0
2018-10-24,589860.0,233.0,2483.0,0.0
2018-10-25,698810.0,268.0,1740.0,0.0
2018-10-26,649920.0,264.0,4426.0,0.0
2018-10-27,1019400.0,418.0,8322.0,0.0
2018-10-28,1088540.0,448.0,6033.0,0.0
2018-10-29,689590.0,313.0,3783.0,0.0
2018-10-30,494110.0,226.0,3331.0,0.0
2018-10-31,392830.0,175.0,2120.0,0.0
2018-11-01,612000.0,261.0,2468.0,0.0
2018-11-02,613310.0,268.0,4417.0,0.0
2018-11-03,1281640.0,499.0,9681.0,0.0
2018-11-04,1214550.0,499.0,4737.0,0.0
2018-11-05,688180.0,299.0,3026.0,0.0
2018-11-06,443260.0,200.0,2507.0,0.0
2018-11-07,467200.0,196.0,1669.0,0.0
2018-11-08,552890.0,244.0,1255.0,-3.59
2018-11-09,356120.0,150.0,2594.0,0.0
2018-11-10,995090.0,448.0,6609.0,0.0
2018-11-11,1204480.0,500.0,4295.0,0.0
2018-11-12,777880.0,322.0,3050.0,0.0
2018-11-13,591610.0,278.0,1893.0,0.0
2018-11-14,655270.0,273.0,2001.0,0.0
2018-11-15,540180.0,213.0,1586.0,0.0
2018-11-16,618410.0,268.0,2291.0,0.0
2018-11-17,1117460.0,471.0,8144.0,0.0
2018-11-18,1063930.0,465.0,5483.0,0.0
2018-11-19,694030.0,285.0,2357.0,0.0
2018-11-20,562750.0,239.0,1492.0,0.0
2018-11-21,493990.0,217.0,1531.0,0.0
2018-11-22,683340.0,280.0,2653.0,12.22
2018-11-23,1275780.0,537.0,9562.0,12.22
2018-11-24,1475780.0,612.0,10812.0,12.22
2018-11-25,1082330.0,446.0,4908.0,0.0
2018-11-26,618100.0,271.0,1471.0,0.0
2018-11-27,566250.0,239.0,3220.0,0.0
2018-11-28,387550.0,169.0,2192.0,0.0
2018-11-29,426280.0,167.0,1608.0,0.0
2018-11-30,539120.0,238.0,2372.0,0.0
2018-12-01,927270.0,404.0,6643.0,0.0
2018-12-02,916690.0,396.0,3385.0,0.0
2018-12-03,508010.0,209.0,1794.0,0.0
2018-12-04,345770.0,175.0,1140.0,0.0
2018-12-05,468030.0,186.0,778.0,0.0
2018-12-06,325200.0,148.0,1068.0,0.0
2018-12-07,625380.0,222.0,2081.0,0.0
2018-12-08,964440.0,416.0,5642.0,0.0
2018-12-09,1010410.0,412.0,2767.0,0.0
2018-12-10,575780.0,225.0,901.0,0.0
2018-12-11,353230.0,151.0,704.0,0.0
2018-12-12,585050.0,212.0,614.0,0.0
2018-12-13,417350.0,189.0,804.0,0.0
2018-12-14,372400.0,156.0,2169.0,0.0
2018-12-15,902720.0,401.0,4003.0,0.0
2018-12-16,950100.0,395.0,2006.0,0.0
2018-12-17,603710.0,255.0,1116.0,0.0
2018-12-18,403760.0,173.0,1052.0,0.0
2018-12-19,413000.0,150.0,825.0,0.0
2018-12-20,496060.0,174.0,751.0,0.0
2018-12-21,309700.0,141.0,1321.0,0.0
2018-12-22,964480.0,394.0,8156.0,0.0
2018-12-23,1276020.0,520.0,7838.0,0.0
2018-12-24,943810.0,403.0,4137.0,2.1600000000000006
2018-12-25,532060.0,232.0,3179.0,0.0
2018-12-26,615700.0,290.0,3466.0,0.0
2018-12-27,526850.0,200.0,4559.0,0.0
2018-12-28,760910.0,326.0,7281.0,0.0
2018-12-29,1082410.0,405.0,11415.0,0.0
2018-12-30,1533850.0,610.0,15118.0,3.7200000000000006
2018-12-31,1301190.0,484.0,16018.0,45.98000000000002
2019-01-01,2819600.0,999.0,12247.0,0.0
2019-01-02,2661400.0,975.0,12184.0,0.0
2019-01-03,2418500.0,891.0,13318.0,0.0
2019-01-04,2230930.0,852.0,14000.0,0.0
2019-01-05,1840660.0,672.0,8700.0,0.0
2019-01-06,1380850.0,533.0,4144.0,0.0
2019-01-07,874920.0,298.0,1041.0,0.0
2019-01-08,670570.0,242.0,574.0,0.0
2019-01-09,686510.0,252.0,640.0,0.0
2019-01-10,745630.0,235.0,594.0,0.0
2019-01-11,775820.0,262.0,648.0,12.22
2019-01-12,1177970.0,482.0,4444.0,12.22
2019-01-13,1875210.0,692.0,4872.0,12.22
2019-01-14,1195170.0,461.0,1919.0,0.0
2019-01-15,665190.0,246.0,858.0,0.0
2019-01-16,814000.0,323.0,1059.0,0.0
2019-01-17,582750.0,251.0,876.0,0.0
2019-01-18,629410.0,273.0,1435.0,0.0
2019-01-19,1175010.0,480.0,3155.0,0.0
2019-01-20,1279330.0,458.0,1812.0,0.0
2019-01-21,845340.0,349.0,1068.0,0.0
2019-01-22,869380.0,328.0,913.0,0.0
2019-01-23,765000.0,304.0,719.0,0.0
2019-01-24,690950.0,272.0,655.0,0.0
2019-01-25,743950.0,297.0,1145.0,0.0
2019-01-26,1122450.0,435.0,3462.0,0.0
2019-01-27,1190500.0,466.0,2104.0,0.0
2019-01-28,591920.0,244.0,1378.0,0.0
2019-01-29,776750.0,283.0,1019.0,0.0
2019-01-30,535450.0,230.0,387.0,-3.59
2019-01-31,287150.0,105.0,394.0,0.0
2019-02-01,382870.0,140.0,898.0,0.0
2019-02-02,902500.0,352.0,3340.0,0.0
