"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2.5%",211.081034130448,17.5601023245755,-26.4981528350735,11.9678964206597,-8.44797283995991,96.1841632480871,258.301350018759,269.946028966465,-24.5248447981368,-82.617634261404,-79.266421962617,-98.9523171885133,-34.5152813841077,83.2883402802048,77.674297246721,-188.091974080339,-207.076023356586,-175.374925476225,-215.505985990098,-264.849631755152,-77.5331915237012,-147.046513586149,-307.43064291826,-342.196570331802,-394.88316545959,-425.035898863638,-418.869072477692,-304.961560331973,-307.532545437097,-462.738694703025
"97.5%",575.147004116448,379.660675892988,380.383877713936,411.124700812243,414.271310810573,540.548407784707,801.714909696927,839.860262825275,500.652505871837,424.720629553172,488.163153087367,459.487836001797,512.904362698048,719.866855265546,716.406365651617,482.173986970738,469.768347771708,566.760281583241,507.805602238305,564.205484687773,797.512926796222,742.058515210482,592.326588076572,530.323552471318,594.621423134488,574.584370512673,660.053382392422,785.856599715087,756.576457191517,617.86027593752
