"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2.5%",186.944295204073,-13.0358209271182,-75.6327956044217,-113.542045062003,-187.07678414767,-175.309835819505,-52.5646275173798,-14.3760134621474,-261.54743686905,-310.958859858887,-359.558195862841,-418.022094913357,-451.423139090297,-270.690569706931,-308.533834528442,-553.978732227822,-583.457641120414,-627.183976951125,-733.461209136746,-709.271275948899,-519.349833275086,-520.839467815447,-784.895008527639,-863.757059549818,-921.9667026126,-1001.39346411763,-1049.10076634051,-878.477575755976,-918.524299298399,-1134.62262895037
"97.5%",601.170675621348,438.38495278812,468.787747822584,494.787748818758,488.564035954867,558.761749452329,809.298415836255,861.179299202689,672.8907734005,658.92702756072,737.095133486434,718.802067863038,790.566905739697,956.511175591158,977.801486330578,841.585081527893,824.2438076115,909.204180618537,888.197116216641,868.566233900133,1106.21617063505,1155.07194857796,1030.70420044488,984.788511341192,1106.05029941403,1102.9764211239,1176.17692896124,1319.73102472291,1388.94914102316,1211.15448656061
