,predicted_mean
2019-07-08,232.68246425354013
2019-07-09,257.15394220448195
2019-07-10,268.4487141864521
2019-07-11,275.43367744720445
2019-07-12,280.7024815083814
2019-07-13,285.05622106640476
2019-07-14,288.77818963699076
2019-07-15,291.9972744478196
2019-07-16,294.7921827245458
2019-07-17,297.22188415157035
2019-07-18,299.33497579129346
2019-07-19,301.17296359120814
2019-07-20,302.77173419869706
2019-07-21,304.162442262514
2019-07-22,305.3721705732493
2019-07-23,306.42447255196623
2019-07-24,307.33983512034274
2019-07-25,308.1360787716619
2019-07-26,308.8287048504933
2019-07-27,309.43119743267266
2019-07-28,309.95528586186197
2019-07-29,310.4111731047107
2019-07-30,310.807734384725
2019-07-31,311.1526899659678
2019-08-01,311.4527554515193
2019-08-02,311.7137725230413
2019-08-03,311.9408226667831
2019-08-04,312.13832610007455
2019-08-05,312.31012782421834
2019-08-06,312.4595724790626
2019-08-07,312.58956945652494
2019-08-08,312.70264954070035
2019-08-09,312.8010141772229
2019-08-10,312.88657833105924
2019-08-11,312.9610077670899
2019-08-12,313.0257514792574
2019-08-13,313.0820698996134
2019-08-14,313.13105943643797
2019-08-15,313.17367381914113
2019-08-16,313.2107426654884
2019-08-17,313.24298763261805
2019-08-18,313.27103646627893
2019-08-19,313.2954352217985
2019-08-20,313.3166588947007
2019-08-21,313.3351206679291
2019-08-22,313.3511799557022
2019-08-23,313.36514940059715
2019-08-24,313.37730096008295
2019-08-25,313.38787120099425
2019-08-26,313.39706590501993
2019-08-27,313.40506407486583
2019-08-28,313.41202141908315
2019-08-29,313.41807338340647
2019-08-30,313.42333778761383
2019-08-31,313.4279171192454
2019-09-01,313.4319005288329
2019-09-02,313.4353655654842
2019-09-03,313.43837968661103
2019-09-04,313.44100157119163
2019-09-05,313.44328226213435
2019-09-06,313.4452661599819
2019-09-07,313.4469918873025
2019-09-08,313.44849304059454
2019-09-09,313.44979884434423
2019-09-10,313.4509347199686
2019-09-11,313.4519227807198
2019-09-12,313.45278226218704
2019-09-13,313.45352989677485
2019-09-14,313.4541802394503
2019-09-15,313.45474595109926
2019-09-16,313.4552380450089
2019-09-17,313.45566610127463
2019-09-18,313.45603845330544
2019-09-19,313.4563623500591
2019-09-20,313.456644097165
2019-09-21,313.45688917968204
2019-09-22,313.45710236888226
2019-09-23,313.4572878151379
2019-09-24,313.45744912872067
2019-09-25,313.45758945008726
2019-09-26,313.45771151101707
2019-09-27,313.45781768779506
2019-09-28,313.4579100474732
2019-09-29,313.4579903881117
2019-09-30,313.458060273784
2019-10-01,313.4581210650259
2019-10-02,313.45817394532276
2019-10-03,313.4582199441493
2019-10-04,313.4582599570117
2019-10-05,313.4582947628814
2019-10-06,313.4583250393597
2019-10-07,313.4583513758698
2019-10-08,313.4583742851316
2019-10-09,313.458394213143
2019-10-10,313.458411547863
2019-10-11,313.4584266267644
2019-10-12,313.4584397434034
2019-10-13,313.45845115313523
2019-10-14,313.4584610780847
2019-10-15,313.458469711471
2019-10-16,313.45847722136904
2019-10-17,313.45848375398174
2019-10-18,313.4584894364861
2019-10-19,313.45849437950926
2019-10-20,313.4584986792822
2019-10-21,313.4585024195128
2019-10-22,313.4585056730161
2019-10-23,313.4585085031313
2019-10-24,313.4585109649553
2019-10-25,313.4585131064147
2019-10-26,313.4585149691997
2019-10-27,313.4585165895749
2019-10-28,313.45851799908587
2019-10-29,313.458519225173
2019-10-30,313.4585202917058
2019-10-31,313.45852121944745
2019-11-01,313.4585220264593
2019-11-02,313.4585227284524
2019-11-03,313.458523339093
2019-11-04,313.4585238702691
2019-11-05,313.4585243323217
2019-11-06,313.458524734246
2019-11-07,313.45852508386673
2019-11-08,313.4585253879902
2019-11-09,313.4585256525373
2019-11-10,313.45852588265797
2019-11-11,313.4585260828324
2019-11-12,313.45852625695755
2019-11-13,313.45852640842327
2019-11-14,313.45852654017835
2019-11-15,313.4585266547877
2019-11-16,313.4585267544826
2019-11-17,313.45852684120393
2019-11-18,313.4585269166399
2019-11-19,313.45852698225923
2019-11-20,313.4585270393393
2019-11-21,313.45852708899133
2019-11-22,313.45852713218204
2019-11-23,313.4585271697522
2019-11-24,313.45852720243323
2019-11-25,313.4585272308614
2019-11-26,313.4585272555901
2019-11-27,313.4585272771008
2019-11-28,313.45852729581225
2019-11-29,313.45852731208873
2019-11-30,313.4585273262471
2019-12-01,313.458527338563
2019-12-02,313.4585273492762
2019-12-03,313.45852735859523
2019-12-04,313.45852736670156
2019-12-05,313.458527373753
2019-12-06,313.4585273798868
2019-12-07,313.4585273852224
2019-12-08,313.45852738986366
2019-12-09,313.45852739390097
2019-12-10,313.45852739741287
2019-12-11,313.45852740046774
2019-12-12,313.45852740312506
2019-12-13,313.4585274054366
2019-12-14,313.4585274074473
2019-12-15,313.4585274091964
2019-12-16,313.45852741071786
2019-12-17,313.45852741204135
2019-12-18,313.45852741319254
2019-12-19,313.458527414194
2019-12-20,313.4585274150651
2019-12-21,313.45852741582286
2019-12-22,313.45852741648196
2019-12-23,313.45852741705534
2019-12-24,313.4585274175541
2019-12-25,313.4585274179879
2019-12-26,313.4585274183653
2019-12-27,313.4585274186936
2019-12-28,313.45852741897914
2019-12-29,313.45852741922755
2019-12-30,313.4585274194436
2019-12-31,313.4585274196316
2020-01-01,313.4585274197951
2020-01-02,313.4585274199373
2020-01-03,313.458527420061
2020-01-04,313.4585274201686
2020-01-05,313.4585274202622
2020-01-06,313.45852742034367
2020-01-07,313.4585274204145
2020-01-08,313.4585274204761
2020-01-09,313.45852742052966
2020-01-10,313.45852742057633
2020-01-11,313.45852742061686
2020-01-12,313.45852742065216
2020-01-13,313.45852742068286
2020-01-14,313.4585274207095
2020-01-15,313.45852742073276
2020-01-16,313.45852742075294
2020-01-17,313.4585274207705
2020-01-18,313.4585274207858
2020-01-19,313.4585274207991
2020-01-20,313.45852742081064
2020-01-21,313.4585274208207
2020-01-22,313.45852742082945
2020-01-23,313.4585274208371
2020-01-24,313.45852742084367
2020-01-25,313.45852742084946
2020-01-26,313.45852742085447
2020-01-27,313.45852742085884
2020-01-28,313.4585274208626
2020-01-29,313.4585274208659
2020-01-30,313.4585274208688
2020-01-31,313.4585274208713
2020-02-01,313.45852742087345
2020-02-02,313.4585274208753
2020-02-03,313.458527420877
2020-02-04,313.4585274208784
2020-02-05,313.45852742087965
2020-02-06,313.4585274208807
2020-02-07,313.45852742088164
2020-02-08,313.4585274208825
2020-02-09,313.4585274208832
2020-02-10,313.4585274208838
2020-02-11,313.45852742088437
2020-02-12,313.4585274208848
2020-02-13,313.4585274208852
2020-02-14,313.45852742088556
2020-02-15,313.4585274208859
2020-02-16,313.4585274208861
2020-02-17,313.4585274208864
2020-02-18,313.4585274208866
2020-02-19,313.45852742088675
2020-02-20,313.4585274208869
2020-02-21,313.45852742088704
2020-02-22,313.45852742088715
2020-02-23,313.45852742088726
2020-02-24,313.4585274208874
2020-02-25,313.45852742088744
2020-02-26,313.4585274208875
2020-02-27,313.45852742088755
2020-02-28,313.4585274208876
2020-02-29,313.45852742088766
2020-03-01,313.4585274208877
2020-03-02,313.4585274208877
2020-03-03,313.4585274208878
2020-03-04,313.4585274208878
2020-03-05,313.4585274208878
2020-03-06,313.45852742088783
2020-03-07,313.45852742088783
2020-03-08,313.45852742088783
2020-03-09,313.4585274208879
2020-03-10,313.4585274208879
2020-03-11,313.4585274208879
2020-03-12,313.4585274208879
2020-03-13,313.4585274208879
2020-03-14,313.4585274208879
2020-03-15,313.4585274208879
2020-03-16,313.4585274208879
2020-03-17,313.45852742088795
2020-03-18,313.45852742088795
2020-03-19,313.45852742088795
2020-03-20,313.45852742088795
2020-03-21,313.45852742088795
2020-03-22,313.45852742088795
2020-03-23,313.45852742088795
2020-03-24,313.45852742088795
2020-03-25,313.45852742088795
2020-03-26,313.45852742088795
2020-03-27,313.45852742088795
2020-03-28,313.45852742088795
2020-03-29,313.45852742088795
2020-03-30,313.45852742088795
2020-03-31,313.45852742088795
2020-04-01,313.45852742088795
