,predicted_mean
2019-07-08,179.08597692782695
2019-07-09,237.82903724953098
2019-07-10,259.4152578128144
2019-07-11,269.8053396488209
2019-07-12,276.45955385700523
2019-07-13,281.5700745308734
2019-07-14,285.8226342624814
2019-07-15,289.4667025009438
2019-07-16,292.6206641730058
2019-07-17,295.35946874144514
2019-07-18,297.74034302096777
2019-07-19,299.81079859962915
2019-07-20,301.6115166601842
2019-07-21,303.1776977510554
2019-07-22,304.53990631967224
2019-07-23,305.7247116398827
2019-07-24,306.7552186664636
2019-07-25,307.6515221959668
2019-07-26,308.4310997336149
2019-07-27,309.10915258647907
2019-07-28,309.69890236247494
2019-07-29,310.21184880688406
2019-07-30,310.6579940467198
2019-07-31,311.04603762768653
2019-08-01,311.38354615027157
2019-08-02,311.6771008137455
2019-08-03,311.93242574536157
2019-08-04,312.15449961717025
2019-08-05,312.3476527269275
2019-08-06,312.5156514361185
2019-08-07,312.6617716115862
2019-08-08,312.78886250282886
2019-08-09,312.8994023005342
2019-08-10,312.9955464597044
2019-08-11,313.07916972964387
2019-08-12,313.15190271036477
2019-08-13,313.21516364823987
2019-08-14,313.2701860908948
2019-08-15,313.3180429405939
2019-08-16,313.3596673751448
2019-08-17,313.3958710442659
2019-08-18,313.427359896234
2019-08-19,313.4547479434221
2019-08-20,313.47856923514576
2019-08-21,313.4992882712817
2019-08-22,313.5173090597169
2019-08-23,313.53298299424233
2019-08-24,313.5466157065063
2019-08-25,313.5584730256352
2019-08-26,313.56878616173026
2019-08-27,313.5777562143163
2019-08-28,313.585558093653
2019-08-29,313.5923439313725
2019-08-30,313.5982460469486
2019-08-31,313.60337952784107
2019-09-01,313.6078444736278
2019-09-02,313.61172794788155
2019-09-03,313.61510567585407
2019-09-04,313.61804352106975
2019-09-05,313.6205987696218
2019-09-06,313.6228212472145
2019-09-07,313.6247542907324
2019-09-08,313.62643559328166
2019-09-09,313.6278979391812
2019-09-10,313.629169843236
2019-09-11,313.6302761067577
2019-09-12,313.6312383011739
