,predicted_mean
2019-07-08,255.1889887824043
2019-07-09,267.5637838068422
2019-07-10,274.8865897886456
2019-07-11,280.2785738088279
2019-07-12,284.6911566647516
2019-07-13,288.4507487974197
2019-07-14,291.6988480825443
2019-07-15,294.5180618487945
2019-07-16,296.96874643625694
2019-07-17,299.1001373351342
2019-07-18,300.9541363363778
2019-07-19,302.5669306634244
2019-07-20,303.9699253502285
2019-07-21,305.19041902049804
2019-07-22,306.2521533066705
2019-07-23,307.1757798727226
2019-07-24,307.9792635818913
2019-07-25,308.6782323387267
2019-07-26,309.28628117379293
2019-07-27,309.8152367025801
2019-07-28,310.27538716407213
2019-07-29,310.6756825307788
2019-07-30,311.0239085873729
2019-07-31,311.3268383651974
2019-08-01,311.5903638784594
2019-08-02,311.81961072450844
2019-08-03,312.01903777721776
2019-08-04,312.1925239125248
2019-08-05,312.34344345295267
2019-08-06,312.47473179851784
2019-08-07,312.5889425205515
2019-08-08,312.68829702891463
2019-08-09,312.77472777864034
2019-08-10,312.84991585637556
2019-08-11,312.9153236776828
2019-08-12,312.97222343116806
2019-08-13,313.02172182267503
2019-08-14,313.0647816008235
2019-08-15,313.10224028256533
2019-08-16,313.13482644297244
2019-08-17,313.16317388609366
2019-08-18,313.1878339725069
2019-08-19,313.20928634333643
2019-08-20,313.2279482493208
2019-08-21,313.2441826663806
2019-08-22,313.2583053555363
2019-08-23,313.2705910044917
2019-08-24,313.2812785703361
2019-08-25,313.29057592728446
2019-08-26,313.29866390985063
2019-08-27,313.305699830097
2019-08-28,313.31182053736967
2019-08-29,313.3171450800315
2019-08-30,313.32177702096493
2019-08-31,313.32580645188017
2019-09-01,313.3293117456077
2019-09-02,313.33236108045793
2019-09-03,313.3350137662959
2019-09-04,313.33732139812395
2019-09-05,313.33932885960985
2019-09-06,313.3410751960784
2019-09-07,313.34259437394707
2019-09-08,313.3439159413758
2019-09-09,313.3450656029821
2019-09-10,313.34606571979816
2019-09-11,313.34693574419515
2019-09-12,313.3476925982338
2019-09-13,313.3483510028001
2019-09-14,313.34892376392816
2019-09-15,313.3494220218787
2019-09-16,313.3498554678182
2019-09-17,313.35023253231316
2019-09-18,313.3505605493053
2019-09-19,313.35084589875777
2019-09-20,313.3510941307456
2019-09-21,313.3513100734055
2019-09-22,313.35149792684365
2019-09-23,313.3516613448281
2019-09-24,313.3518035058548
2019-09-25,313.3519271749697
2019-09-26,313.3520347575495
2019-09-27,313.352128346086
2019-09-28,313.35220976088544
2019-09-29,313.35228058547375
2019-09-30,313.35234219739624
2019-10-01,313.3523957950109
2019-10-02,313.35244242079665
2019-10-03,313.35248298162963
2019-10-04,313.352518266422
2019-10-05,313.3525489614666
2019-10-06,313.35257566378493
2019-10-07,313.3525988927399
2019-10-08,313.35261910013685
2019-10-09,313.3526366790117
2019-10-10,313.3526519712753
2019-10-11,313.35266527436374
2019-10-12,313.3526768470233
2019-10-13,313.3526869143435
2019-10-14,313.3526956721346
2019-10-15,313.35270329073654
2019-10-16,313.3527099183319
2019-10-17,313.3527156838281
2019-10-18,313.35272069936445
2019-10-19,313.35272506249385
2019-10-20,313.35272885807944
2019-10-21,313.35273215994584
2019-10-22,313.35273503231457
2019-10-23,313.3527375310536
2019-10-24,313.35273970476356
2019-10-25,313.3527415957234
2019-10-26,313.35274324071236
2019-10-27,313.35274467172576
2019-10-28,313.3527459165969
2019-10-29,313.3527469995387
2019-10-30,313.35274794161444
2019-10-31,313.35274876114755
2019-11-01,313.35274947407805
2019-11-02,313.35275009427255
2019-11-03,313.3527506337939
2019-11-04,313.35275110313574
2019-11-05,313.35275151142696
2019-11-06,313.3527518666088
2019-11-07,313.3527521755895
2019-11-08,313.3527524443789
2019-11-09,313.3527526782049
2019-11-10,313.3527528816155
2019-11-11,313.352753058567
2019-11-12,313.3527532125011
2019-11-13,313.35275334641193
2019-11-14,313.352753462904
2019-11-15,313.3527535642431
2019-11-16,313.3527536524003
2019-11-17,313.35275372909024
2019-11-18,313.3527537958046
2019-11-19,313.35275385384085
2019-11-20,313.352753904328
2019-11-21,313.3527539482479
2019-11-22,313.3527539864548
2019-11-23,313.3527540196919
2019-11-24,313.3527540486055
2019-11-25,313.3527540737582
2019-11-26,313.35275409563906
2019-11-27,313.35275411467376
2019-11-28,313.3527541312324
2019-11-29,313.3527541456372
2019-11-30,313.3527541581683
2019-12-01,313.3527541690693
2019-12-02,313.3527541785524
2019-12-03,313.3527541868019
2019-12-04,313.3527541939784
2019-12-05,313.3527542002214
2019-12-06,313.3527542056523
2019-12-07,313.35275421037676
2019-12-08,313.35275421448665
2019-12-09,313.352754218062
2019-12-10,313.35275422117223
2019-12-11,313.35275422387787
2019-12-12,313.3527542262316
2019-12-13,313.35275422827914
2019-12-14,313.3527542300604
2019-12-15,313.35275423160994
2019-12-16,313.35275423295786
2019-12-17,313.3527542341305
2019-12-18,313.3527542351506
2019-12-19,313.352754236038
2019-12-20,313.35275423681
2019-12-21,313.3527542374815
2019-12-22,313.3527542380657
2019-12-23,313.35275423857394
2019-12-24,313.35275423901606
2019-12-25,313.3527542394006
2019-12-26,313.3527542397352
2019-12-27,313.35275424002623
2019-12-28,313.35275424027947
2019-12-29,313.3527542404997
2019-12-30,313.3527542406913
2019-12-31,313.352754240858
2020-01-01,313.35275424100297
2020-01-02,313.3527542411291
2020-01-03,313.35275424123887
2020-01-04,313.3527542413343
2020-01-05,313.35275424141736
2020-01-06,313.3527542414896
2020-01-07,313.3527542415524
2020-01-08,313.3527542416071
2020-01-09,313.3527542416547
2020-01-10,313.35275424169606
2020-01-11,313.35275424173204
2020-01-12,313.35275424176336
2020-01-13,313.3527542417906
2020-01-14,313.35275424181424
2020-01-15,313.3527542418349
2020-01-16,313.3527542418528
2020-01-17,313.3527542418684
2020-01-18,313.352754241882
2020-01-19,313.35275424189376
2020-01-20,313.35275424190405
2020-01-21,313.352754241913
2020-01-22,313.35275424192076
2020-01-23,313.3527542419275
2020-01-24,313.3527542419334
2020-01-25,313.3527542419385
2020-01-26,313.35275424194293
2020-01-27,313.35275424194685
2020-01-28,313.3527542419502
2020-01-29,313.3527542419531
2020-01-30,313.35275424195567
2020-01-31,313.3527542419579
2020-02-01,313.3527542419598
2020-02-02,313.3527542419615
2020-02-03,313.35275424196294
2020-02-04,313.35275424196425
2020-02-05,313.35275424196533
2020-02-06,313.3527542419663
2020-02-07,313.35275424196715
2020-02-08,313.35275424196783
2020-02-09,313.3527542419685
2020-02-10,313.352754241969
2020-02-11,313.35275424196954
2020-02-12,313.35275424196993
2020-02-13,313.3527542419703
2020-02-14,313.3527542419706
2020-02-15,313.3527542419709
2020-02-16,313.3527542419711
2020-02-17,313.35275424197135
2020-02-18,313.3527542419715
2020-02-19,313.3527542419717
2020-02-20,313.3527542419718
2020-02-21,313.3527542419719
2020-02-22,313.35275424197204
2020-02-23,313.3527542419721
2020-02-24,313.3527542419722
2020-02-25,313.35275424197226
2020-02-26,313.3527542419723
2020-02-27,313.3527542419724
2020-02-28,313.35275424197243
2020-02-29,313.35275424197243
2020-03-01,313.3527542419725
2020-03-02,313.35275424197255
2020-03-03,313.35275424197255
2020-03-04,313.35275424197255
2020-03-05,313.3527542419726
2020-03-06,313.3527542419726
2020-03-07,313.3527542419726
2020-03-08,313.3527542419726
2020-03-09,313.35275424197266
2020-03-10,313.35275424197266
2020-03-11,313.35275424197266
2020-03-12,313.35275424197266
2020-03-13,313.35275424197266
2020-03-14,313.35275424197266
2020-03-15,313.35275424197266
2020-03-16,313.3527542419727
2020-03-17,313.3527542419727
2020-03-18,313.3527542419727
2020-03-19,313.3527542419727
2020-03-20,313.3527542419727
2020-03-21,313.3527542419727
2020-03-22,313.3527542419727
2020-03-23,313.3527542419727
2020-03-24,313.3527542419727
2020-03-25,313.3527542419727
2020-03-26,313.3527542419727
2020-03-27,313.3527542419727
2020-03-28,313.3527542419727
2020-03-29,313.3527542419727
2020-03-30,313.3527542419727
2020-03-31,313.3527542419727
2020-04-01,313.3527542419727
