,predicted_mean
2019-07-08,229.13949578731905
2019-07-09,265.14062428731796
2019-07-10,278.65896906825697
2019-07-11,285.3640819870119
2019-07-12,289.75667608732493
2019-07-13,293.1632581611773
2019-07-14,296.003716421951
2019-07-15,298.43509391295197
2019-07-16,300.5348754421966
2019-07-17,302.3536195348669
2019-07-18,303.9304597043763
2019-07-19,305.2980019299209
2019-07-20,306.48414918710245
2019-07-21,307.5129969460437
2019-07-22,308.4054151264723
2019-07-23,309.1794976578126
2019-07-24,309.85093677006506
2019-07-25,310.433343214732
2019-07-26,310.9385227660349
2019-07-27,311.37671570136996
2019-07-28,311.75680442559195
2019-07-29,312.0864935357205
2019-07-30,312.37246600100707
2019-07-31,312.62051863128215
2019-08-01,312.8356795816002
2019-08-02,313.02231027562954
2019-08-03,313.18419381398996
2019-08-04,313.32461165966384
2019-08-05,313.446410154949
2019-08-06,313.55205821828827
2019-08-07,313.6436973905229
2019-08-08,313.7231852450317
2019-08-09,313.7921330417035
2019-08-10,313.85193838800797
2019-08-11,313.9038135692212
2019-08-12,313.9488101220745
2019-08-13,313.9878401499478
2019-08-14,314.02169481167607
2019-08-15,314.05106035874815
2019-08-16,314.0765320459788
2019-08-17,314.0986261976315
2019-08-18,314.1177906735782
2019-08-19,314.1344139476502
2019-08-20,314.1488329822036
2019-08-21,314.1613400585203
2019-08-22,314.1721887015007
2019-08-23,314.18159881874436
2019-08-24,314.1897611581909
2019-08-25,314.196841174679
2019-08-26,314.20298238380167
2019-08-27,314.2083092710416
2019-08-28,314.212929815156
2019-08-29,314.2169376769617
2019-08-30,314.2204140978889
2019-08-31,314.22342954678635
2019-09-01,314.2260451483614
2019-09-02,314.22831392220974
2019-09-03,314.2302818575498
2019-09-04,314.23198884544786
2019-09-05,314.23346948743074
2019-09-06,314.23475379687665
2019-09-07,314.23586780740175
2019-09-08,314.2368341005751
2019-09-09,314.2376722636586
2019-09-10,314.23839928665126
2019-09-11,314.2390299066847
2019-09-12,314.23957690675303
2019-09-13,314.2400513748302
2019-09-14,314.2404629286294
2019-09-15,314.24081991055886
2019-09-16,314.24112955682665
2019-09-17,314.2413981441227
2019-09-18,314.24163111685033
2019-09-19,314.2418331974871
2019-09-20,314.2420084823119
2019-09-21,314.2421605244388
2019-09-22,314.2422924058403
2019-09-23,314.24240679982046
2019-09-24,314.2425060252045
2019-09-25,314.24259209334207
2019-09-26,314.2426667488789
2019-09-27,314.2427315051213
2019-09-28,314.2427876747118
2019-09-29,314.24283639623695
2019-09-30,314.24287865730724
2019-10-01,314.2429153145765
2019-10-02,314.24294711110645
2019-10-03,314.2429746914292
2019-10-04,314.24299861461213
2019-10-05,314.24301936559056
2019-10-06,314.24303736499746
2019-10-07,314.24305297769024
2019-10-08,314.24306652014616
2019-10-09,314.2430782668778
2019-10-10,314.2430884559975
2019-10-11,314.24309729404405
2019-10-12,314.2431049601691
2019-10-13,314.243111609769
2019-10-14,314.24311737763463
2019-10-15,314.2431223806836
2019-10-16,314.2431267203302
2019-10-17,314.24313048454144
2019-10-18,314.2431337496198
2019-10-19,314.24313658175004
2019-10-20,314.2431390383409
2019-10-21,314.24314116918885
2019-10-22,314.24314301748717
2019-10-23,314.2431446207019
2019-10-24,314.24314601133096
2019-10-25,314.2431472175632
2019-10-26,314.2431482638495
2019-10-27,314.24314917139867
2019-10-28,314.24314995860715
2019-10-29,314.2431506414321
2019-10-30,314.2431512337148
2019-10-31,314.243151747461
2019-11-01,314.24315219308465
2019-11-02,314.2431525796188
2019-11-03,314.2431529148987
2019-11-04,314.24315320572055
2019-11-05,314.2431534579796
2019-11-06,314.2431536767892
2019-11-07,314.2431538665847
2019-11-08,314.2431540312134
2019-11-09,314.24315417401243
2019-11-10,314.24315429787634
2019-11-11,314.2431544053159
2019-11-12,314.2431544985091
2019-11-13,314.2431545793449
2019-11-14,314.24315464946187
2019-11-15,314.2431547102814
2019-11-16,314.2431547630362
2019-11-17,314.2431548087958
2019-11-18,314.24315484848773
2019-11-19,314.2431548829165
2019-11-20,314.24315491277997
2019-11-21,314.24315493868363
2019-11-22,314.2431549611524
2019-11-23,314.2431549806419
2019-11-24,314.24315499754704
2019-11-25,314.2431550122106
2019-11-26,314.24315502492976
2019-11-27,314.2431550359624
2019-11-28,314.2431550455321
2019-11-29,314.2431550538328
2019-11-30,314.2431550610329
2019-12-01,314.2431550672783
2019-12-02,314.24315507269546
2019-12-03,314.24315507739436
2019-12-04,314.2431550814702
2019-12-05,314.2431550850056
2019-12-06,314.24315508807217
2019-12-07,314.2431550907321
2019-12-08,314.2431550930394
2019-12-09,314.24315509504066
2019-12-10,314.2431550967766
2019-12-11,314.24315509828233
2019-12-12,314.2431550995884
2019-12-13,314.2431551007213
2019-12-14,314.243155101704
2019-12-15,314.2431551025564
2019-12-16,314.24315510329575
2019-12-17,314.24315510393706
2019-12-18,314.2431551044933
2019-12-19,314.24315510497587
2019-12-20,314.2431551053944
2019-12-21,314.2431551057574
2019-12-22,314.2431551060723
2019-12-23,314.24315510634545
2019-12-24,314.2431551065824
2019-12-25,314.24315510678787
2019-12-26,314.2431551069661
2019-12-27,314.24315510712074
2019-12-28,314.2431551072549
2019-12-29,314.2431551073712
2019-12-30,314.24315510747215
2019-12-31,314.24315510755963
2020-01-01,314.2431551076356
2020-01-02,314.24315510770145
2020-01-03,314.2431551077585
2020-01-04,314.2431551078081
2020-01-05,314.24315510785107
2020-01-06,314.24315510788836
2020-01-07,314.2431551079207
2020-01-08,314.2431551079487
2020-01-09,314.24315510797305
2020-01-10,314.24315510799414
2020-01-11,314.2431551080125
2020-01-12,314.24315510802836
2020-01-13,314.2431551080421
2020-01-14,314.24315510805405
2020-01-15,314.24315510806446
2020-01-16,314.24315510807344
2020-01-17,314.2431551080812
2020-01-18,314.243155108088
2020-01-19,314.24315510809384
2020-01-20,314.2431551080989
2020-01-21,314.24315510810334
2020-01-22,314.24315510810715
2020-01-23,314.2431551081105
2020-01-24,314.2431551081134
2020-01-25,314.2431551081159
2020-01-26,314.24315510811806
2020-01-27,314.24315510811994
2020-01-28,314.2431551081215
2020-01-29,314.24315510812295
2020-01-30,314.2431551081242
2020-01-31,314.2431551081253
2020-02-01,314.2431551081262
2020-02-02,314.243155108127
2020-02-03,314.24315510812767
2020-02-04,314.2431551081283
2020-02-05,314.2431551081288
2020-02-06,314.24315510812926
2020-02-07,314.24315510812966
2020-02-08,314.24315510813
2020-02-09,314.2431551081303
2020-02-10,314.2431551081305
2020-02-11,314.24315510813074
2020-02-12,314.24315510813096
2020-02-13,314.24315510813113
2020-02-14,314.24315510813125
2020-02-15,314.2431551081314
2020-02-16,314.2431551081315
2020-02-17,314.2431551081316
2020-02-18,314.2431551081317
2020-02-19,314.24315510813176
2020-02-20,314.2431551081318
2020-02-21,314.2431551081319
2020-02-22,314.24315510813193
2020-02-23,314.24315510813193
2020-02-24,314.243155108132
2020-02-25,314.24315510813204
2020-02-26,314.24315510813204
2020-02-27,314.24315510813204
2020-02-28,314.2431551081321
2020-02-29,314.2431551081321
2020-03-01,314.2431551081321
2020-03-02,314.24315510813216
2020-03-03,314.24315510813216
2020-03-04,314.24315510813216
2020-03-05,314.24315510813216
2020-03-06,314.24315510813216
2020-03-07,314.24315510813216
2020-03-08,314.24315510813216
2020-03-09,314.24315510813216
2020-03-10,314.2431551081322
2020-03-11,314.2431551081322
2020-03-12,314.2431551081322
2020-03-13,314.2431551081322
2020-03-14,314.2431551081322
2020-03-15,314.2431551081322
2020-03-16,314.2431551081322
2020-03-17,314.2431551081322
2020-03-18,314.2431551081322
2020-03-19,314.2431551081322
2020-03-20,314.2431551081322
2020-03-21,314.2431551081322
2020-03-22,314.2431551081322
2020-03-23,314.2431551081322
2020-03-24,314.2431551081322
2020-03-25,314.2431551081322
2020-03-26,314.2431551081322
2020-03-27,314.2431551081322
2020-03-28,314.2431551081322
2020-03-29,314.2431551081322
2020-03-30,314.2431551081322
2020-03-31,314.2431551081322
2020-04-01,314.2431551081322
