"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2.5%",165.149454055432,-56.2228897780492,-87.558210804314,-115.61628817743,-168.287388607486,-142.312886356734,-20.8109948054285,3.21433205579749,-234.102006248381,-272.817532960308,-290.513091837335,-366.140949014677,-331.61993469056,-203.784905911201,-170.632931180527,-381.364736728794,-454.578364512019,-468.766627507435,-570.666059573704,-525.198962060325,-395.221447199347,-405.87338578301,-594.411952905034,-658.663907097681,-657.353535424818,-724.175685232169,-752.057818526166,-541.271539434719,-605.974007720253,-765.290278715971
"97.5%",605.16863201503,441.600560710269,425.636420507008,448.748321921653,430.120476579699,451.516955785687,705.039768024008,730.930702066841,568.951143368847,518.623181996018,539.358790699825,559.231074203721,625.215323814811,826.057166809668,853.609481118183,711.556122976531,686.812501334645,721.536014797883,670.776150848853,740.466138365858,890.505129286431,961.655429883718,852.379587897728,812.375627144821,830.885423734629,866.747032730316,912.135021466297,1092.23657749868,1127.80431007648,920.783369125004
